h3,lat,lon,status,stored_lcoh_solar,stored_lcoh_wind,stored_lcoh_best,solar_lcoh,wind_lcoh,lcoh_delta_solar,lcoh_delta_wind,solar_cf,wind_cf,solar_c_electricityPv,solar_c_electricityWind,solar_c_electricityGrid,solar_c_electrolyzerCapex,solar_c_stackReplacements,solar_c_electrolyzerOpex,solar_c_water,wind_c_electricityPv,wind_c_electricityWind,wind_c_electricityGrid,wind_c_electrolyzerCapex,wind_c_stackReplacements,wind_c_electrolyzerOpex,wind_c_water,solar_util,wind_util,solar_ely_cf,wind_ely_cf,solar_flh,wind_flh,solar_operating_hours,wind_operating_hours,solar_stack_replacements,wind_stack_replacements,solar_curtail_frac,wind_curtail_frac,solar_lcoe_usd_mwh,wind_lcoe_usd_mwh,solar_lcoe_per_consumed,wind_lcoe_per_consumed,pv_provider,pv_dataset_version,pv_valid,pv_reasons,wind_provider,wind_dataset_version,wind_valid,wind_reasons,lcoh_wacc_2024,lcoh_optimal_2024,optimal_ratio,optimal_pv_share,engine_version
8372b3fffffffff,-3.5227,132.7800,ready,11.3690,26.8280,11.3690,11.3690,26.8281,-0.000034,0.000077,0.1421,0.0808,4.7099,0.0000,0.0000,5.9014,0.0000,0.7532,0.0045,0.0000,14.3620,0.0000,11.0511,0.0000,1.4105,0.0045,0.9587,0.9000,0.2725,0.1455,2387.1,1274.7,4376.0,4296.0,0,0,0.0413,0.1000,75.08,214.96,78.32,238.83,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt4a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
8372f2fffffffff,-2.4081,139.7084,ready,11.2730,71.4800,11.2730,11.2731,71.4804,0.000088,0.000389,0.1444,0.0275,4.6702,0.0000,0.0000,5.8516,0.0000,0.7469,0.0045,0.0000,38.2699,0.0000,29.4474,0.0000,3.7585,0.0045,0.9513,0.9935,0.2748,0.0546,2407.4,478.4,4383.0,3369.0,0,0,0.0487,0.0065,73.88,632.30,77.66,636.41,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
83728bfffffffff,-4.5763,138.8768,ready,15.4820,75.6530,15.4820,15.4819,75.6528,-0.000118,-0.000156,0.1031,0.0258,6.4144,0.0000,0.0000,8.0371,0.0000,1.0258,0.0045,0.0000,40.5040,0.0000,31.1664,0.0000,3.9780,0.0045,0.9700,1.0000,0.2001,0.0516,1752.7,452.0,4351.0,3897.0,0,0,0.0300,0.0000,103.47,673.56,106.67,673.56,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt5a180-2014-2023/tmy-v1,true,"",nasa-power,nasa-power-2015-2024-hub120-generic-5.6MW/tmy-v1,true,"",,,,,0.1.0
8372a2fffffffff,-1.3551,133.5891,ready,11.7440,,11.7440,11.7441,,0.000068,,0.1385,,4.8653,0.0000,0.0000,6.0961,0.0000,0.7781,0.0045,,,,,,,,0.9523,,0.2638,,2310.8,,4378.0,,0,,0.0477,,77.05,,80.91,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
839cdcfffffffff,-7.4080,139.9380,ready,11.5320,19.7640,11.5320,11.5318,19.7636,-0.000216,-0.000425,0.1397,0.1000,4.7774,0.0000,0.0000,5.9859,0.0000,0.7640,0.0045,0.0000,10.5795,0.0000,8.1406,0.0000,1.0390,0.0045,0.9612,0.9877,0.2686,0.1975,2353.4,1730.5,4384.0,6013.0,0,0,0.0388,0.0123,76.36,173.77,79.45,175.93,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt7a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
837280fffffffff,-3.1578,135.0802,ready,10.8230,63.2630,10.8230,10.8233,63.2628,0.000287,-0.000192,0.1550,0.0333,4.4837,0.0000,0.0000,5.6180,0.0000,0.7171,0.0045,0.0000,33.8701,0.0000,26.0618,0.0000,3.3264,0.0045,0.9232,0.9257,0.2862,0.0617,2507.5,540.5,4375.0,2601.0,0,0,0.0768,0.0743,68.84,521.41,74.56,563.24,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
8372d6fffffffff,-4.3874,140.0316,ready,12.7430,,12.7430,12.7435,,0.000500,,0.1277,,5.2795,0.0000,0.0000,6.6151,0.0000,0.8443,0.0045,,,,,,,,0.9517,,0.2431,,2129.5,,4378.0,,0,,0.0483,,83.56,,87.80,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt4a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
837286fffffffff,-3.3413,133.9281,ready,11.6990,,11.6990,11.6989,,-0.000051,,0.1385,,4.8466,0.0000,0.0000,6.0727,0.0000,0.7751,0.0045,,,,,,,,0.9559,,0.2648,,2319.7,,4377.0,,0,,0.0441,,77.04,,80.60,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
83728cfffffffff,-2.7857,137.3921,ready,11.7410,,11.7410,11.7410,,0.000024,,0.1379,,4.8641,0.0000,0.0000,6.0946,0.0000,0.7779,0.0045,,,,,,,,0.9568,,0.2639,,2311.4,,4372.0,,0,,0.0432,,77.39,,80.89,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
839cddfffffffff,-7.5945,138.7881,ready,11.0860,9.7350,9.4730,11.0856,9.7349,-0.000448,-0.000098,0.1461,0.2286,4.5924,0.0000,0.0000,5.7542,0.0000,0.7344,0.0045,0.0000,5.1234,0.0000,3.9423,0.1616,0.5032,0.0045,0.9564,0.8755,0.2795,0.4004,2448.1,3507.1,4439.0,6651.0,0,1,0.0436,0.1245,73.04,76.00,76.37,86.81,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt8a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
